Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,county_fips
" Accomack County, Virginia",38215,37742,37308,36742,36310,35835,35192,34553,33970,33415,33202,33225,33268,32969,32971,32914,32871,32685,32581,32316,33413,51001
" Albemarle County, Virginia",83532,85002,86150,87620,89491,91676,93852,95009,97081,98071,99150,100213,101464,102270,103732,105117,106431,107768,108377,109330,112395,51003
" Alleghany County, Virginia",17213,17082,16953,16687,16645,16580,16564,16530,16404,16306,16228,16163,16034,15923,15605,15425,15387,15128,14986,14860,15223,51005
" Amelia County, Virginia",11446,11481,11540,11544,11712,11943,12250,12447,12563,12594,12729,12752,12745,12656,12713,12784,12801,12980,13057,13145,13265,51007
" Amherst County, Virginia",31854,31953,31775,31810,31783,31955,32094,32203,32510,32447,32319,32154,32630,32317,32158,31836,31887,31863,31684,31605,31307,51009
" Appomattox County, Virginia",13692,13809,13733,13765,13916,13981,14215,14425,14795,14812,15019,15109,15246,15320,15348,15492,15528,15723,15881,15911,16119,51011
" Arlington County, Virginia",189198,190386,190137,188735,187901,187760,188176,190759,196305,202637,209457,215990,221454,224894,225980,228548,231259,234647,236025,236842,238643,51013
" Augusta County, Virginia",65572,66124,66735,67660,68899,69949,71896,73041,73555,73844,73668,73648,73588,73842,73881,74292,74834,75177,75535,75558,77487,51015
" Bath County, Virginia",5020,4997,5012,4974,4934,4891,4823,4835,4778,4743,4714,4655,4642,4592,4535,4460,4409,4266,4253,4147,4209,51017
" Bedford County, Virginia",60472,60985,61580,62441,63563,64825,66363,67392,67594,68399,68735,75554,75750,76177,77034,77629,77993,78378,78882,78997,79462,51019
" Bland County, Virginia",6833,6876,6836,6913,6913,6873,6840,6930,6921,6868,6808,6773,6692,6673,6583,6532,6472,6354,6303,6280,6270,51021
" Botetourt County, Virginia",30648,30748,31155,31454,31715,31803,32491,32681,32955,33042,33165,33005,33123,32994,33080,33380,33252,33313,33352,33419,33596,51023
" Brunswick County, Virginia",18387,18331,18236,18072,17981,17981,18011,17823,17791,17507,17404,17127,17032,16984,16825,16845,16618,16570,16336,16231,15849,51025
" Buchanan County, Virginia",26838,26501,26299,25941,25647,25315,25009,24670,24371,24234,24012,23824,23822,23625,23152,22752,22212,21604,21369,21004,20355,51027
" Buckingham County, Virginia",15634,15857,15908,16057,16168,16401,16547,16737,16819,17148,17120,17213,17068,17150,16931,17017,17051,17038,17043,17148,16824,51029
" Campbell County, Virginia",51082,51349,51685,51885,52093,52795,53475,53769,54232,54472,54921,54789,54830,55078,55272,55356,55419,55326,55137,54885,55696,51031
" Caroline County, Virginia",22136,22168,22566,23135,23920,25475,26722,27592,28011,28263,28631,28672,28949,29248,29741,29900,30099,30432,30751,30725,30887,51033
" Carroll County, Virginia",29264,29448,29415,29472,29670,29660,29894,29933,30067,30002,30027,30092,29916,29909,29711,29870,29789,29812,29741,29791,29155,51035
" Charles City County, Virginia",6930,6952,7030,7091,7050,7060,7156,7148,7232,7216,7271,7205,7126,7072,6978,7046,7034,7026,7000,6963,6773,51036
" Charlotte County, Virginia",12476,12481,12590,12465,12524,12631,12731,12680,12654,12588,12568,12499,12401,12279,12175,12179,12119,12077,11944,11880,11529,51037
" Chesterfield County, Virginia",261047,265544,270741,276300,283030,289998,298496,304636,309837,313096,317102,320307,323880,327612,332093,334915,338479,343276,348281,352802,364548,51041
" Clarke County, Virginia",12672,12862,12950,13110,13413,13710,13939,13969,14092,14015,14052,14190,14245,14253,14315,14239,14294,14454,14511,14619,14783,51043
" Craig County, Virginia",5073,5056,5065,5097,5142,5139,5158,5212,5167,5120,5208,5169,5138,5138,5176,5136,5120,5062,5102,5131,4892,51045
" Culpeper County, Virginia",34442,35299,36612,38121,39670,41894,44076,45527,46056,46236,46850,47345,47844,48606,49237,49551,50319,51235,51795,52605,52552,51047
" Cumberland County, Virginia",8987,9002,9093,9216,9223,9465,9596,9762,9849,10013,10056,9985,9841,9848,9839,9756,9745,9828,9857,9932,9675,51049
" Dickenson County, Virginia",16322,16237,16074,16018,16003,16111,15958,15971,16078,15925,15897,15779,15707,15526,15344,15201,15014,14722,14526,14318,14124,51051
" Dinwiddie County, Virginia",24674,24666,25038,25415,25770,26149,26590,27078,27694,27888,27995,28119,28223,28084,28094,28148,28468,28630,28633,28544,27947,51053
" Essex County, Virginia",9984,9994,10074,10201,10238,10445,10576,10739,10920,11104,11167,11169,11135,11161,11071,11096,11077,10969,10896,10953,10599,51057
" Fairfax County, Virginia",975476,991564,998613,1003070,1010938,1019490,1018981,1027727,1044178,1065142,1086743,1103439,1120395,1131784,1136271,1140401,1144188,1148728,1148463,1147532,1150309,51059
" Fauquier County, Virginia",55470,56878,58522,59863,61319,62686,63761,64122,64558,64907,65383,66032,66561,67139,68116,68423,68805,69547,70642,71222,72972,51061
" Floyd County, Virginia",13909,14086,14172,14261,14371,14588,14762,14823,15101,15150,15316,15400,15431,15482,15526,15548,15677,15758,15790,15749,15476,51063
" Fluvanna County, Virginia",20191,21027,21921,22835,23451,24318,24638,25134,25461,25576,25733,25956,25883,25825,25969,26133,26187,26480,26898,27270,27249,51065
" Franklin County, Virginia",47546,48384,49167,50012,51001,51976,53037,54447,55284,55732,56191,56337,56290,56269,56258,56227,56158,56315,56191,56042,54477,51067
" Frederick County, Virginia",59639,61360,63313,65379,67442,69921,72456,74670,76060,77477,78511,79512,80229,81474,82714,83493,84638,86456,88173,89313,91419,51069
" Giles County, Virginia",16738,16799,16800,16821,16786,16963,17161,17138,17168,17264,17296,17151,17022,16988,16849,16762,16827,16754,16799,16720,16787,51071
" Gloucester County, Virginia",34793,34852,35103,35454,35714,36011,36220,36466,36638,36778,36950,36889,36838,36768,37024,37010,37114,37295,37341,37348,38711,51073
" Goochland County, Virginia",16935,17250,17610,18062,18570,19349,20176,20869,21285,21604,21745,21374,21273,21565,21849,22165,22485,22703,23219,23753,24727,51075
" Grayson County, Virginia",16782,16548,16558,16414,16301,16153,16096,16066,15938,15696,15478,15366,15143,15128,15922,15959,15867,15697,15635,15550,15333,51077
" Greene County, Virginia",15454,15793,16308,16677,16895,17155,17607,17972,18131,18237,18461,18667,18803,18848,19105,19183,19309,19593,19692,19819,20552,51079
" Greensville County, Virginia",11566,11605,11639,11876,11428,12063,12048,12147,12206,12272,12234,12001,11745,11689,11564,11786,11500,11569,11432,11336,11391,51081
" Halifax County, Virginia",37299,37003,36919,36645,36382,36340,36383,36338,36347,36293,36192,36000,35738,35386,35204,35103,34990,34575,34181,33911,34022,51083
" Hanover County, Virginia",86972,88845,91370,93466,95295,96451,98025,98830,99404,99651,99948,99908,100339,101065,101724,103071,104290,105674,106886,107766,109979,51085
" Henrico County, Virginia",264385,267722,270608,274555,280290,286441,291460,296408,300198,304763,307435,310430,315587,318640,321835,324375,325931,327559,328993,330818,334389,51087
" Henry County, Virginia",57903,57393,56986,56506,56183,55651,55464,55284,55073,54402,54079,53552,53112,52748,52237,51940,51645,51346,51050,50557,50948,51089
" Highland County, Virginia",2529,2530,2450,2490,2442,2463,2479,2424,2403,2363,2306,2260,2234,2205,2238,2196,2210,2217,2208,2190,2232,51091
" Isle of Wight County, Virginia",29849,30119,30497,31224,31899,32566,33716,34581,34955,35270,35288,35296,35343,35526,35865,36159,36326,36571,36972,37109,38606,51093
" James City County, Virginia",48536,49786,51722,53734,56182,58428,61133,63007,64436,66118,67237,68297,69409,70612,72064,72819,73930,75274,76033,76523,78254,51095
" King and Queen County, Virginia",6620,6607,6586,6558,6739,6792,6915,6948,6916,6893,6959,6987,7009,7029,7082,7085,7054,6999,7045,7025,6608,51097
" King George County, Virginia",16916,17136,17717,18326,19124,20476,21519,22444,22996,23335,23675,24273,24606,24897,25260,25414,25947,26337,26612,26836,26723,51099
" King William County, Virginia",13238,13412,13589,13808,13975,14278,14874,15296,15604,15768,16003,16014,15977,16092,16149,16282,16405,16684,16919,17148,17810,51101
" Lancaster County, Virginia",11549,11401,11417,11519,11514,11533,11551,11573,11481,11403,11380,11275,11125,10959,10861,10825,10771,10725,10696,10603,10919,51103
" Lee County, Virginia",23548,23320,24278,24967,25168,25150,25228,25322,25463,25578,25578,25544,25428,25080,24724,24595,24165,23900,23656,23423,22173,51105
" Loudoun County, Virginia",173907,189910,203543,220366,238299,254909,267194,279704,292570,303661,315134,326327,337847,349915,362206,374014,385546,397049,405522,413538,420959,51107
" Louisa County, Virginia",25819,26320,27027,27867,28582,29835,30946,31716,32475,32840,33262,33465,33494,33987,34310,34611,35304,35912,36784,37591,37596,51109
" Lunenburg County, Virginia",13093,13050,13109,13064,12952,13030,13070,13024,12936,12887,12922,12911,12638,12532,12482,12348,12319,12333,12215,12196,11936,51111
" Madison County, Virginia",12535,12643,12838,12865,12902,13106,13291,13429,13332,13358,13299,13141,13132,13090,13030,13047,13081,13212,13248,13261,13837,51113
" Mathews County, Virginia",9142,9145,9118,9091,9021,8962,8987,9026,9041,8997,8971,8944,8911,8898,8813,8834,8769,8709,8792,8834,8533,51115
" Mecklenburg County, Virginia",32384,32425,32528,32546,32547,32554,32642,32823,32920,32815,32671,32560,31686,31239,31104,30922,30813,30693,30624,30587,30319,51117
" Middlesex County, Virginia",9932,10007,10029,10238,10399,10526,10732,10763,10806,10875,10977,10854,10850,10781,10657,10686,10749,10625,10733,10582,10625,51119
" Montgomery County, Virginia",83799,85236,85746,86708,87289,88696,90062,91548,92724,93772,94531,94737,95652,96589,97107,97317,98172,98142,98532,98535,101323,51121
" Nelson County, Virginia",14451,14496,14614,14718,14699,14828,14809,14993,15050,15090,15003,15020,14802,14800,14863,14760,14805,14800,14862,14930,14775,51125
" New Kent County, Virginia",13537,13876,14192,14764,15317,15953,16680,17254,17728,18057,18556,18764,19149,19516,20019,20377,21009,21638,22317,23091,22945,51127
" Northampton County, Virginia",13025,12843,12729,12714,12759,12771,12776,12649,12586,12460,12388,12408,12212,12030,12038,12080,12002,11872,11761,11710,12282,51131
" Northumberland County, Virginia",12229,12239,12451,12543,12487,12501,12430,12466,12496,12379,12326,12451,12422,12298,12256,12241,12176,12271,12168,12095,11839,51133
" Nottoway County, Virginia",15773,15849,15756,15693,15628,15795,15719,15799,15847,15894,15837,15894,15756,15637,15511,15606,15495,15432,15400,15232,15642,51135
" Orange County, Virginia",25981,26431,27128,27951,28658,29990,31438,32273,33077,33329,33535,33994,34275,34620,34923,35178,35354,35870,36598,37051,36254,51137
" Page County, Virginia",23149,23171,23265,23531,23527,23708,24045,24222,24208,24076,24027,23957,23841,23723,23784,23662,23619,23784,23972,23902,23709,51139
" Patrick County, Virginia",19418,19293,19071,18979,18836,18802,18766,18748,18677,18562,18464,18335,18333,18249,18175,17960,17796,17713,17663,17608,17608,51141
" Pittsylvania County, Virginia",61835,62037,61975,62107,62279,62467,62586,62803,63472,63386,63488,63262,62895,62554,62371,62010,61704,61309,60901,60354,60501,51143
" Powhatan County, Virginia",22585,23090,24105,24888,25568,26372,27391,27599,27745,27983,28071,28129,28178,28300,28496,28056,28443,28716,29210,29652,30333,51145
" Prince Edward County, Virginia",19708,19737,20264,20203,20639,21341,21722,22293,22959,23260,23379,22318,23172,22714,22975,23120,23020,22678,22906,22802,22417,51147
" Prince George County, Virginia",33100,33586,34258,34345,34925,34798,34575,34466,35059,35828,35716,36716,37123,37333,37415,38246,37972,38006,37993,38353,43010,51149
" Prince William County, Virginia",284565,298843,311749,323377,337439,350612,359174,368016,374776,389001,406110,419094,429616,437735,443782,450978,456496,463069,466235,470335,482204,51153
" Pulaski County, Virginia",35144,35120,34817,34789,34829,34748,34891,35058,35051,34988,34829,34740,34732,34546,34340,34351,34249,34225,34060,34027,33800,51155
" Rappahannock County, Virginia",6980,7157,7197,7200,7289,7384,7348,7403,7420,7333,7376,7476,7409,7428,7336,7400,7380,7393,7345,7370,7348,51157
" Richmond County, Virginia",8803,8924,9003,9103,9202,9213,9328,9426,9386,9251,9248,9208,9079,8952,8884,8781,8758,8889,8970,9023,8923,51159
" Roanoke County, Virginia",85744,85941,86569,87338,88177,89245,90489,91120,91704,92215,92389,92815,92738,93311,93378,93376,93528,93939,94086,94186,96929,51161
" Rockbridge County, Virginia",20835,20905,20989,21189,21432,21738,21931,22228,22363,22269,22294,22445,22378,22328,22432,22396,22450,22668,22761,22573,22650,51163
" Rockingham County, Virginia",67977,68671,69315,69975,70789,72030,73000,74274,75075,75850,76413,76861,77137,77419,77878,78445,79367,80397,81261,81948,83757,51165
" Russell County, Virginia",29251,29001,28741,28766,28546,28508,28618,28889,28831,29012,28862,28683,28427,28336,28077,27854,27422,27046,26795,26586,25781,51167
" Scott County, Virginia",23351,23127,23048,22978,22954,23084,23272,23302,23237,23212,23147,23053,22954,22768,22519,22296,22082,21893,21672,21566,21576,51169
" Shenandoah County, Virginia",35240,35835,36525,37309,38272,39406,40610,41214,41720,41743,42053,42266,42530,42506,42729,42848,42907,43276,43473,43616,44186,51171
" Smyth County, Virginia",33079,32931,32849,32733,32570,32519,32632,32449,32386,32283,32163,32047,31896,31772,31573,31419,31126,30731,30454,30104,29800,51173
" Southampton County, Virginia",17493,17489,17353,17409,17535,17810,18028,18571,18706,18607,18552,18638,18507,18329,18223,18136,18080,17841,17713,17631,17996,51175
" Spotsylvania County, Virginia",91387,96326,101802,106525,110580,115017,117891,119083,120195,121038,122853,124537,125827,127392,128804,129948,131252,132739,134011,136215,140032,51177
" Stafford County, Virginia",93625,98320,103943,109166,113798,117611,119892,122526,124323,126449,129745,132200,133368,135923,138791,140868,143501,146792,149824,152882,156927,51179
" Surry County, Virginia",6833,6829,6886,6901,6873,6865,6991,7042,7061,7037,7064,6921,6839,6787,6780,6671,6554,6503,6463,6422,6561,51181
" Sussex County, Virginia",12456,12318,12109,12205,12014,11933,12193,12191,12215,12175,12060,12086,11924,11766,11723,11692,11414,11379,11241,11159,10829,51183
" Tazewell County, Virginia",44418,43985,43995,44042,44102,44025,44195,44169,45020,45069,45078,44730,44264,44017,43379,42905,42155,41303,41058,40595,40429,51185
" Warren County, Virginia",31690,32222,33031,33797,34434,35405,36231,36814,37259,37240,37676,37646,37887,38500,40126,38716,39165,39409,40006,40164,40727,51187
" Washington County, Virginia",51230,51441,51670,51908,52341,52940,53322,54216,54475,54722,54877,54831,55095,54776,54603,54268,54100,54179,54067,53740,53935,51191
" Westmoreland County, Virginia",16644,16518,16528,16718,16658,16757,16841,17127,17305,17448,17463,17635,17513,17552,17436,17549,17649,17725,17817,18015,18477,51193
" Wise County, Virginia",42077,41810,41667,41640,41591,41585,41531,41543,41489,41454,41463,41454,40909,40662,39892,39572,39027,38574,37875,37383,36130,51195
" Wythe County, Virginia",27621,27585,27710,27859,27947,28349,28628,28827,29123,29216,29230,29202,29328,29282,29055,29097,28912,28829,28698,28684,28290,51197
" York County, Virginia",57119,58651,60126,60620,61926,63076,63912,64710,64944,65197,65467,65772,65825,65980,66523,67802,67832,68022,67976,68280,70045,51199
" Alexandria city, Virginia",129225,130932,130614,129421,128765,128181,127676,129175,132949,137523,140912,144219,147291,149637,151375,153654,156698,159215,159069,159428,159467,51510
" Bristol city, Virginia",17289,17330,17087,17465,17536,17493,17684,17540,17631,17842,17822,17717,17692,17386,17191,17146,17088,16880,16685,16762,17219,51520
" Buena Vista city, Virginia",6381,6423,6412,6555,6588,6634,6679,6618,6664,6677,6627,6711,6747,6652,6549,6529,6435,6482,6494,6478,6641,51530
" Charlottesville city, Virginia",41351,41436,41449,40695,40281,40597,41066,41538,42130,43054,43547,43761,44580,45012,45518,46301,46943,47463,47506,47266,51050,51540
" Chesapeake city, Virginia",200224,202325,203970,206909,211927,215128,217271,217450,218458,220176,222986,225361,228091,230327,233360,235111,237464,240143,242359,244835,249422,51550
" Colonial Heights city, Virginia",16905,17002,17026,17056,17296,17348,17604,17462,17387,17525,17381,17284,17383,17487,17442,17444,17398,17424,17504,17370,18170,51570
" Covington city, Virginia",6281,6319,6283,6230,6192,6073,5979,6057,5991,5948,5971,5914,5842,5827,5772,5663,5637,5576,5578,5538,5737,51580
" Danville city, Virginia",48104,47415,46929,46515,45788,45086,44586,44162,43765,43496,42928,42645,42705,42623,42263,41947,41665,41044,40649,40044,42590,51590
" Emporia city, Virginia",5655,5618,5736,5693,5659,5657,5734,5755,5820,5865,5937,5841,5813,5693,5597,5558,5478,5467,5363,5346,5766,51595
" Fairfax city, Virginia",21600,21668,21603,21518,21160,20860,21407,21682,22112,22418,22671,22460,22894,23230,23310,23230,23246,23435,23725,24019,24146,51600
" Falls Church city, Virginia",10441,10550,10600,10596,10589,10840,10852,10947,11219,11787,12520,12660,13087,13360,13416,13728,13582,14245,14467,14617,14658,51610
" Franklin city, Virginia",8269,8160,8044,8113,8177,8278,8489,8611,8538,8489,8619,8445,8482,8536,8392,8331,8201,8145,8089,7967,8180,51620
" Fredericksburg city, Virginia",19461,20061,20501,20659,21567,21660,22479,22898,23277,23775,24445,25752,27179,27818,28256,28043,28360,28498,29171,29036,27982,51630
" Galax city, Virginia",6921,6775,6738,6744,6790,6821,6879,6880,6888,6966,7067,6846,6852,6931,6899,6800,6604,6484,6348,6347,6720,51640
" Hampton city, Virginia",146054,143432,141844,140413,140200,141314,140839,140222,138957,137833,137381,136628,137177,137332,137680,136264,135374,134725,134330,134510,137148,51650
" Harrisonburg city, Virginia",40437,41646,42837,43176,43753,44572,45858,46551,47286,48294,49041,49935,51312,51537,52542,52675,53542,53644,53488,53016,54810,51660
" Hopewell city, Virginia",22277,22147,22291,22046,21998,22131,22295,22549,22576,22455,22655,22502,22309,22161,22109,22231,22539,22505,22478,22529,23033,51670
" Lexington city, Virginia",6825,6858,6842,6750,6810,6903,6978,6956,6963,7006,7046,6972,7018,7146,7125,7162,7148,7154,7297,7446,7479,51678
" Lynchburg city, Virginia",65330,65003,65263,66496,67021,68773,70919,72869,74018,75137,75686,76584,77269,77940,78141,79134,79710,80523,81309,82168,80395,51680
" Manassas city, Virginia",34914,35341,35878,36253,36564,36452,35631,34969,34858,36674,38201,39101,40284,41082,41142,41409,41189,41141,41046,41085,42772,51683
" Manassas Park city, Virginia",10305,10777,11150,11357,11982,12451,12490,12677,12744,13613,14450,15067,15397,15896,15916,16129,16456,17149,17718,17478,17219,51685
" Martinsville city, Virginia",15331,15173,14867,14796,14448,14405,14281,14042,14040,14012,13769,13596,13492,13416,13317,13259,12996,12823,12627,12554,13485,51690
" Newport News city, Virginia",180236,181873,183061,183404,185204,183651,183581,182528,181287,181000,180712,180078,180056,181275,181522,180958,180209,179447,178523,179225,186247,51700
" Norfolk city, Virginia",234986,236489,241704,239286,243836,239650,243406,241248,241201,241725,243135,243655,246149,245468,246576,246457,245680,244543,243585,242742,238005,51710
" Norton city, Virginia",3916,3896,3929,3944,3847,3767,3825,3869,3861,3903,3971,4087,4124,4099,4135,4009,3972,3918,3972,3981,3687,51720
" Petersburg city, Virginia",33561,33183,32803,32645,32292,31930,32181,32318,32321,32168,32527,32091,31996,32311,32241,31892,31380,31137,31056,31346,33458,51730
" Poquoson city, Virginia",11582,11523,11697,11797,11772,11879,12008,12089,12103,12153,12141,12042,12114,12094,12009,12021,11952,12039,12169,12271,12460,51735
" Portsmouth city, Virginia",100337,99166,98297,97184,97428,98069,99213,97831,95802,95384,95696,95748,96480,96075,95829,96336,95165,94838,94750,94398,97915,51740
" Radford city, Virginia",15872,16193,15963,15691,15743,15995,16163,16341,16304,16361,16423,16814,16714,17117,17392,17295,17324,17484,18101,18249,17604,51750
" Richmond city, Virginia",196782,197575,197513,197306,196878,197465,198618,200201,202254,203678,204389,206391,210794,213860,217044,220856,225369,227230,229221,230436,226610,51760
" Roanoke city, Virginia",94941,94931,93956,93716,93614,93932,94247,94916,95813,97023,96967,96782,98011,98849,99427,99669,99337,98986,99009,99143,100011,51770
" Salem city, Virginia",24747,24487,24554,24465,24096,24310,24508,24482,24673,24684,24860,25026,25179,25317,25428,25364,25252,25373,25293,25301,25346,51775
" Staunton city, Virginia",23896,23734,23691,23726,23501,23603,23638,23920,23945,23764,23765,24023,23809,24101,24283,24185,24156,24325,24562,24932,25750,51790
" Suffolk city, Virginia",64216,66448,69274,72721,75725,77957,80291,81273,82603,83648,84906,84750,85251,85751,86882,88079,89194,90108,90975,92108,94324,51800
" Virginia Beach city, Virginia",426918,428396,430183,431600,437494,436210,437739,434732,433331,435004,439172,442583,445044,447706,448864,450304,450983,449896,449849,449974,459470,51810
" Waynesboro city, Virginia",19661,19744,20010,20163,20351,20533,20728,20747,20920,20985,21045,21103,21066,21167,21305,21542,21757,22242,22531,22630,22196,51820
" Williamsburg city, Virginia",12012,12024,11829,11796,11986,12400,12810,13142,13296,13687,14170,14109,14526,14617,14580,14800,14884,14994,15002,14954,16017,51830
" Winchester city, Virginia",23699,24224,24602,24649,25175,25565,25757,25701,26004,26036,26268,26660,27008,27321,27382,27480,27785,28178,27962,28078,28120,51840
